1865,29,4.83,4.83,4.86,4.89,4.96,4.81,4.74
1866,2,4.5,5,5,5,5,5,4
1867,11,4.82,5,4.82,4.91,5,4.82,4.73
1868,346,4.94,4.96,4.99,4.97,4.95,4.88,4.91
1869,0,0,0,0,0,0,0,0
1870,73,4.66,4.9,4.78,4.79,4.9,4.32,4.67
1871,45,4.98,4.96,4.91,4.95,5,4.75,4.75
1872,1,5,5,4,5,5,5,5
1873,0,0,0,0,0,0,0,0
1874,3,5,5,5,5,5,5,4.67
1875,1,5,5,5,5,5,5,5
1876,45,4.82,4.89,4.44,5,4.96,4.98,4.82
1877,2,4.5,5,4,5,5,3,5
1878,175,4.85,4.9,4.76,4.93,4.93,4.98,4.78
1879,215,4.62,4.74,4.52,4.91,4.94,4.63,4.49
1880,267,4.75,4.88,4.84,4.91,4.95,4.15,4.73
1881,11,4.55,4.9,4.3,5,4.9,4.8,4.7
1882,101,4.69,4.72,4.86,4.94,4.96,4.63,4.65
1883,275,4.46,4.58,4.64,4.53,4.52,4.46,4.46
1884,13,4.46,4.67,4.08,4.83,4.92,4.5,4.42
1885,142,4.96,4.95,4.94,4.97,4.98,4.98,4.87
1886,0,0,0,0,0,0,0,0
1887,3,4.67,4.67,4.33,4.67,5,4.67,4.67
1888,9,4.44,4.67,4.11,5,5,4.78,4.78
1889,0,0,0,0,0,0,0,0
1890,17,4.53,4.53,4.29,5,4.76,4.88,4.41
1891,8,4.88,4.63,4.63,5,5,4.5,4.88
1892,12,4.75,4.5,4.67,4.92,4.92,4.83,4.92
1893,0,0,0,0,0,0,0,0
1894,0,0,0,0,0,0,0,0
1895,195,4.28,4.44,4.45,4.48,4.49,4.5,4.46
1896,39,4.85,4.87,4.76,4.89,4.95,4.76,4.82
1897,2,4.5,5,4.5,5,5,4.5,4
1898,6,4.83,5,4.67,5,5,5,4.8
1899,2,4.5,5,4.5,5,5,5,5
1900,0,0,0,0,0,0,0,0
1901,40,4.65,4.8,4.65,4.9,4.83,4.55,4.7
1902,13,4.69,4.92,4.85,5,4.92,4.54,4.85
1903,224,4.98,4.98,4.97,4.99,4.98,4.89,4.97
1904,12,4.83,4.75,4.08,4.92,4.83,4.75,4.83
1905,8,5,5,5,5,5,5,4.88
1906,0,0,0,0,0,0,0,0
1907,5,4.8,5,5,5,5,4.6,4.8
