56,33,4.93,4.89,4.89,4.96,4.96,4.78,4.93,0.2
57,69,4.8,4.72,4.7,4.85,4.87,4.57,4.62,0.42
58,220,4.66,4.78,4.81,4.71,4.73,4.58,4.64,1.36
59,188,4.81,4.82,4.46,4.93,4.91,4.54,4.75,1.21
60,4,5,5,5,4.75,5,5,5,0.05
61,232,4.69,4.85,4.82,4.83,4.72,4.83,4.71,1.44
62,124,4.64,4.84,4.72,4.86,4.93,4.55,4.69,0.77
63,18,4.78,4.83,4.56,5,4.83,4.44,4.67,0.28
64,29,4.42,4.46,4.13,4.83,4.63,4.88,4.5,0.18
65,13,4.42,4.64,4.36,4.82,5,4.82,4.55,0.09
66,0,0,0,0,0,0,0,0,0
67,133,4.66,4.61,4.47,4.87,4.87,4.89,4.62,0.84
68,69,4.7,4.78,4.56,4.81,4.84,4.79,4.61,0.43
69,25,4.42,4.29,4.21,4.17,4.29,4.33,4.29,0.16
70,0,0,0,0,0,0,0,0,0
71,76,4.97,4.99,4.92,4.99,4.97,4.89,4.92,0.48
72,33,4.34,4.41,4.3,4.59,4.78,4.44,4.35,0.21
73,5,4,4.75,4.25,4.5,5,4.25,4.25,0.03
74,16,4.71,4.5,4.44,4.81,4.63,4.69,4.44,0.1
75,0,0,0,0,0,0,0,0,0
76,173,4.75,4.83,4.64,4.93,4.9,4.94,4.84,1.07
77,143,4.65,4.71,4.58,4.53,4.47,4.49,4.68,0.9
78,62,4.35,4.6,4.85,4.55,4.45,3.91,4.45,0.38
79,302,4.86,4.89,4.89,4.97,4.89,4.47,4.81,1.88
80,102,4.83,4.93,4.67,4.91,4.87,4.87,4.86,0.8
81,42,4.73,4.7,4.63,5,4.98,4.88,4.7,0.26
82,272,4.67,4.74,4.62,4.67,4.72,4.5,4.65,1.71
83,159,4.87,4.91,4.86,4.95,4.92,4.92,4.81,0.99
84,295,4.68,4.8,4.78,4.94,4.93,4.89,4.58,1.85
85,131,4.83,4.9,4.73,4.93,4.95,4.88,4.69,0.86
86,388,4.88,4.93,4.95,4.91,4.92,4.56,4.8,2.42
87,679,4.71,4.69,4.74,4.76,4.82,4.65,4.72,4.39
88,60,4.67,4.83,4.69,4.86,4.98,4.71,4.6,0.38
89,4,4.75,4.75,4.5,5,5,5,4.75,0.03
90,79,4.75,4.84,4.56,4.91,4.94,4.73,4.65,0.51
91,37,4.81,4.92,4.67,4.97,4.94,4.86,4.69,0.24
92,9,4.88,4.71,4.29,4.86,5,5,4.71,0.06
93,196,4.84,4.85,4.95,4.97,4.98,4.6,4.8,1.27
94,282,4.74,4.77,4.71,4.68,4.73,4.5,4.66,1.78
95,3,5,4.67,4.67,5,5,4.67,4.67,0.05
96,165,4.53,4.69,4.37,4.81,4.84,4.83,4.43,1.04
97,4,5,5,4.75,4.5,5,5,5,0.03
98,89,4.23,4.43,4.05,4.53,4.52,4.84,4.41,0.57
99,172,4.81,4.82,4.71,4.93,4.91,4.87,4.69,1.1
100,0,0,0,0,0,0,0,0,0
101,57,4.93,4.91,4.86,4.95,4.96,4.72,4.7,0.44
102,0,0,0,0,0,0,0,0,0
103,46,4.82,4.91,4.91,4.87,4.76,4.41,4.8,0.29
104,254,4.79,4.78,4.81,4.83,4.73,4.53,4.79,1.64
105,17,4.94,4.88,4.94,5,5,4.94,4.81,0.11
106,56,4.67,4.86,4.84,4.91,4.96,4.79,4.64,0.36
107,165,4.52,4.56,4.6,4.63,4.83,4.68,4.53,1.04
108,68,4.87,4.96,4.99,4.97,4.99,4.97,4.73,0.47
109,167,4.93,4.94,4.78,4.76,4.94,4.94,4.81,1.58
110,211,4.86,4.92,4.76,4.94,4.95,4.9,4.7,1.38
111,242,4.98,4.97,4.97,4.99,4.97,4.97,4.88,1.71
112,79,4.88,4.87,4.92,4.99,5,4.94,4.81,0.51
113,0,0,0,0,0,0,0,0,0
114,37,4.97,4.95,4.97,4.95,4.92,4.97,4.76,0.25
115,63,4.82,4.85,4.47,4.85,4.85,4.97,4.72,0.44
116,67,4.8,4.77,4.56,4.95,4.94,4.8,4.76,0.43
117,50,4.85,4.92,4.85,4.96,4.9,4.96,4.75,0.35
118,49,4.98,4.98,4.8,4.93,4.98,4.84,4.84,0.31
119,16,4.56,4.75,4.63,4.88,4.63,4.63,4.56,0.24
120,37,4.51,4.72,4.14,4.86,4.83,4.97,4.71,0.24
121,38,4.03,4.22,3.81,4.78,4.58,4.05,4.13,0.25
122,268,4.67,4.76,4.55,4.89,4.9,4.32,4.66,1.75
123,47,4.67,4.81,4.36,4.77,4.83,4.51,4.68,0.3
124,3,4.67,5,4.67,4,4.67,4.67,4.67,0.02
125,419,4.84,4.83,4.85,4.86,4.88,4.69,4.79,2.68
126,20,4.58,4.94,4.82,4.71,4.88,3.65,4.76,0.13
127,58,4.84,4.9,4.93,4.97,4.84,4.53,4.71,0.37
128,11,4.73,4.9,4.6,5,5,4.5,4.6,0.11
129,232,4.41,4.48,3.93,4.86,4.79,4.84,4.5,1.49
130,10,5,5,5,5,4.9,4.8,4.6,0.07
131,10,4.7,5,4.78,4.89,4.89,4.11,4.78,0.07
132,36,4.86,4.77,4.58,4.89,4.83,4.97,4.8,0.3
133,112,4.12,4.07,3.68,4.42,4.4,4.19,4.19,0.73
134,2,4,5,5,5,4.5,3.5,4.5,0.01
